tokens,tags,polarities
"('Do', '""nt""', 'go', 'alone', '--', 'even', 'two', 'people', 'is', '""nt""', 'enough', 'for', 'the', 'whole', 'experience', ',', 'with', 'pickles', 'and', 'a', 'selection', 'of', 'meats', 'and', 'seafoods', '.')","('0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '1', '2', '2', '2', '2', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '2', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('Regardless', 'of', 'whether', 'there', 'are', 'two', 'people', 'or', 'two', 'hundred', 'people', 'ahead', 'of', 'you', 'the', 'hostess', 'will', 'take', 'your', 'name', 'and', 'tell', 'you', 'Five', 'minutes', '.')","('0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '2', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('The', 'hanger', 'steak', 'was', 'like', 'rubber', 'and', 'the', 'tuna', 'was', 'flavorless', 'not', 'to', 'mention', 'it', 'tasted', 'like', 'it', 'had', 'just', 'been', 'thawed', '.')","('0', '1', '2', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0')","('-1', '0', '0', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('Terrific', 'menu', 'full', 'of', 'unique', 'rolls', 'and', 'special', 'dishes', '.')","('0', '1', '0', '0', '0', '1', '0', '0', '1', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '2', '-1')"
"('Service', 'is', 'great', ',', 'takeout', 'is', 'good', 'too', '.')","('1', '0', '0', '0', '1', '0', '0', '0', '0')","('2', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('Succulent', 'steaks', 'cooked', 'precisely', 'to', 'your', 'desired', '`', 'doneness', '""""', 'accompanied', 'by', 'salads', 'and', 'sides', 'that', 'do', '""nt""', 'look', 'like', 'leafy', 'road', 'kill', '.')","('0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0')","('-1', '2', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('I', 'ordered', 'a', 'Chicken', 'Teriyaki', 'dish', 'and', 'found', 'that', 'the', 'chicken', 'was', 'extremely', 'dry', '.')","('0', '0', '0', '1', '2', '2', '0', '0', '0', '0', '1', '0', '0', '0', '0')","('-1', '-1', '-1', '0', '0', '0', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('My', 'husband', 'had', 'the', 'mesclun', ',', 'salmon', ',', 'and', 'ice', 'cream', 'and', 'he', 'enjoyed', 'all', '3', 'courses', '.')","('0', '0', '0', '0', '1', '0', '1', '0', '0', '1', '2', '0', '0', '0', '0', '0', '1', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '2', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('No', 'dress', 'codes', ',', 'no', 'attitudes', ',', 'plenty', 'of', 'comfort', 'companionship', ',', 'a', 'great', 'place', 'to', 'relax', 'in', 'an', 'always', 'busy', 'Midtown', '.')","('0', '1', '2', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0')","('-1', '2', '2', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('I', 'really', 'loved', 'the', 'different', 'and', 'inovated', 'touch', 'that', '""s""', 'the', 'cheff', 'gives', 'to', 'the', 'food', '.')","('0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '1', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '2', '-1', '-1', '-1', '-1', '-1')"
"('We', 'figured', 'we', 'never', 'had', 'Argentinian', 'Pizza', 'before', 'so', 'we', 'grabbed', 'our', 'lunch', 'there', ',', 'sharing', 'a', 'large', 'Pelligrino', ',', 'a', 'pizza', 'of', 'two', 'of', 'their', 'specials', ',', 'one', 'was', 'goat', 'cheese', 'the', 'other', 'blue', 'cheese', ',', 'and', 'both', 'were', 'excellent', '.')","('0', '0', '0', '0', '0', '1', '2', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '1', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '1', '2', '0', '0', '1', '2', '0', '0', '0', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '2', '2', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('However', ',', 'go', 'for', 'the', 'ambience', ',', 'and', 'consider', 'the', 'food', 'just', 'a', 'companion', 'for', 'a', 'trip', 'across', 'the', 'world', '!')","('0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '0', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('As', 'we', 'were', 'sitting', 'eating', 'the', 'subpar', 'food', 'the', 'manager', 'proceeded', 'to', 'berate', 'a', 'couple', 'of', 'his', 'employees', 'for', 'putting', 'out', 'the', 'wrong', 'containers', 'for', 'condiments', 'and', 'explained', 'to', 'them', 'how', 'expensive', 'these', 'containers', 'were', '.')","('0', '0', '0', '0', '0', '0', '0', '1', '0', '1', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '1', '2', '2', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '0', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('We', 'have', 'never', 'had', 'any', 'problems', 'with', 'charging', 'the', 'meal', 'or', 'the', 'tip', ',', 'and', 'the', 'food', 'was', 'delivered', 'quickly', ',', 'but', 'we', 'live', 'only', 'a', 'few', 'minutes', 'walk', 'from', 'them', '.')","('0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '1', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '2', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('We', 'went', 'here', 'for', 'lunch', 'a', 'couple', 'of', 'weeks', 'ago', 'on', 'a', 'Saturday', ',', 'and', 'I', 'was', 'thoroughly', 'impressed', 'with', 'the', 'food', '.')","('0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0')","('-1', '-1', '-1', '-1', '1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('20', 'minutes', 'for', 'our', 'reservation', 'but', 'it', 'gave', 'us', 'time', 'to', 'have', 'a', 'few', 'cocktails', 'and', 'enjoy', 'our', 'surroundings', 'and', 'each', 'other', '.')","('0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '1', '0', '0', '0', '0')","('-1', '-1', '-1', '-1', '0', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('Great', 'spot', ',', 'whether', 'looking', 'for', 'a', 'couple', 'of', 'drinks', 'or', 'quiet', 'dinner', '.')","('0', '1', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '1', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '2', '-1')"
"('The', 'large', 'selection', 'of', 'bruschettas', ',', 'paninis', ',', 'tramezzinis', 'keep', 'the', 'palate', 'from', 'stagnating', '.')","('0', '0', '0', '0', '1', '0', '1', '0', '1', '0', '0', '0', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '2', '-1', '-1', '-1', '-1', '-1', '-1')"
"('NO', 'more', 'reservations', ',', 'expensive', 'tips', 'and', 'annoying', 'stuff', '.')","('0', '0', '1', '0', '0', '1', '0', '0', '1', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '2', '-1')"
"('Yes', ',', 'they', 'use', 'fancy', 'ingredients', ',', 'but', 'even', 'fancy', 'ingredients', 'do', '""nt""', 'make', 'for', 'good', 'pizza', 'unless', 'someone', 'knows', 'how', 'to', 'get', 'the', 'crust', 'right', '.')","('0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '0', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('After', 'we', 'got', 'our', 'sashimi', 'order', ',', 'I', 'could', 'not', 'believe', 'how', 'small', 'the', 'portions', 'were', '!')","('0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0')","('-1', '-1', '-1', '-1', '1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('They', 'charge', 'different', 'prices', 'all', 'the', 'time', '.')","('0', '0', '0', '1', '0', '0', '0', '0')","('-1', '-1', '-1', '0', '-1', '-1', '-1', '-1')"
"('I', '""ve""', 'lived', 'in', 'NYC', 'all', 'my', 'life', 'and', 'had', 'never', 'before', 'seen', 'so', 'many', 'waterbugs', 'in', 'one', 'place', '-LRB-', 'except', 'in', 'a', 'really', 'bad', 'dream', '-RRB-', '.')","('0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '0', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('The', 'prices', 'and', 'ambience', 'are', 'especially', 'great', 'considering', 'it', '""s""', 'in', 'the', 'West', 'Village', '.')","('0', '1', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0')","('-1', '2', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('No', 'refills', 'on', 'fountain', 'drinks', ',', 'though', '.')","('0', '0', '0', '1', '2', '0', '0', '0')","('-1', '-1', '-1', '0', '0', '-1', '-1', '-1')"
"('While', 'this', 'is', '""nt""', 'classical', 'restaurant', 'fare', ',', 'the', 'chef', 'has', 'given', 'new', 'life', 'to', 'an', 'old', 'cuisine', 'with', 'some', 'really', 'innovative', 'and', 'tasty', 'dishes', 'that', 'are', 'genuinely', 'Indian', 'without', 'being', 'heavy', 'or', 'same', 'old', 'restaurant', 'burn-outs', '.')","('0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '2', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('Went', 'there', 'with', 'my', 'wife', 'and', 'we', 'had', 'to', 'wait', 'for', 'a', 'table', 'even', 'though', 'you', 'could', 'see', 'there', 'many', 'that', 'were', 'empty', 'with', 'not', 'reservation', 'sigh', 'on', 'them', '.')","('0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '2', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '0', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('The', 'drinks', 'are', 'always', 'welll', 'made', 'and', 'wine', 'selection', 'is', 'fairly', 'priced', '.')","('0', '1', '0', '0', '0', '0', '0', '1', '2', '0', '0', '1', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '2', '-1')"
"('Good', ',', 'dark', 'atmosphere', 'and', 'the', 'music', 'is', 'a', 'nice', 'touch', '.')","('0', '0', '0', '1', '0', '0', '1', '0', '0', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '2', '-1', '-1', '-1', '-1', '-1')"
"('The', 'bartender', 'on', 'my', 'most', 'recent', 'visit', 'was', 'so', 'incredibly', 'rude', 'that', 'I', 'will', 'never', 'go', 'back', '.')","('0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0')","('-1', '0', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('It', 'may', 'be', 'a', 'bit', 'packed', 'on', 'weekends', ',', 'but', 'the', 'vibe', 'is', 'good', 'and', 'it', 'is', 'the', 'best', 'French', 'food', 'you', 'will', 'find', 'in', 'the', 'area', '.')","('0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '1', '2', '0', '0', '0', '0', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '2', '2', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('In', 'reality', '-LRB-', 'to', 'maximize', 'potential', 'diners', '-RRB-', 'they', 'were', 'still', 'taking', 'phone', 'reservations', 'and', 'reallocating', 'tables', 'of', 'those', 'waiting', 'in', 'the', 'lobby', '.')","('0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '1', '0', '0', '1', '0', '0', '1', '0', '0', '1', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '1', '-1')"
"('I', '""ve""', 'been', 'to', 'several', 'places', 'for', 'Dim', 'Sum', 'and', 'this', 'has', 'got', 'to', 'be', 'the', 'WORST', '.')","('0', '0', '0', '0', '0', '0', '0', '1', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '0', '0', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('Based', 'on', 'the', 'reviews', 'for', 'dinner', ',', 'this', 'is', 'a', 'place', 'I', 'would', 'reconsider', 'revisiting', 'for', 'that', ',', 'but', 'definitely', 'not', 'for', 'Dim', 'Sum', 'again', '.')","('0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '2', '0', '0')","('-1', '-1', '-1', '-1', '-1', '2', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('The', 'food', 'was', 'not', 'fresh', ',', 'the', 'sauces', 'were', 'bland', 'and', 'very', 'oily', '.')","('0', '1', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '0', '-1', '-1', '-1', '-1', '-1', '-1')"
"('Try', 'the', 'chocolate', 'mud', 'cake', '(warmed)', 'with', '2', 'scoops', 'of', 'dulce', 'de', 'leche', 'gelato', '.')","('0', '0', '1', '2', '2', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0')","('-1', '-1', '2', '2', '2', '2', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('They', 'sell', 'special', 'sushi', ',', 'everything', 'have', 'a', 'topping', ',', 'sauce', 'and', 'etc.', '.')","('0', '0', '0', '1', '0', '0', '0', '0', '1', '0', '1', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '2', '-1', '-1', '-1', '-1', '-1')"
"('If', 'you', '""re""', 'looking', 'for', 'a', 'great', 'meal', 'at', 'a', 'decent', 'price', ',', 'go', 'to', 'Del', 'Frisco', '""s""', '!')","('0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '2', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('Example', 'is', 'the', 'soup', 'which', 'was', 'about', '6', 'oz', 'for', '$', '12', 'dollars', 'and', 'the', 'mushrooms', 'where', '$', '12', 'for', 'about', '1oz', '.')","('0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0')","('-1', '-1', '-1', '2', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('I', '""ve""', 'been', 'coming', 'here', 'as', 'a', 'child', 'and', 'always', 'come', 'back', 'for', 'the', 'taste', '.')","('0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '2', '-1')"
"('Usually', '3', 'vs.', '4', 'items', 'per', 'dish', '.')","('0', '0', '0', '0', '0', '0', '1', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '1', '-1')"
"('Service', 'was', 'also', 'horrible', 'and', 'the', 'ambience', 'is', 'not', 'that', 'great', '.')","('1', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0')","('0', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('With', 'so', 'many', 'good', 'restaurants', 'on', 'the', 'UWS', ',', 'I', 'do', '""nt""', 'need', 'overpriced', 'food', ',', 'absurdly', 'arrogant', 'wait-staff', 'who', 'do', '""nt""', 'recognize', 'they', 'work', 'at', 'a', 'glorified', 'diner', ',', 'clumsy', 'service', ',', 'and', 'management', 'that', 'does', '""nt""', 'care', '.')","('0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '1', '0', '0', '1', '0', '0', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '0', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
"('Went', 'there', 'with', 'my', 'wife', 'and', 'we', 'had', 'to', 'wait', 'for', 'a', 'table', 'even', 'though', 'you', 'could', 'see', 'there', 'many', 'that', 'were', 'empty', 'with', 'not', 'reservation', 'sigh', 'on', 'them', '.')","('0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '2', '0', '0', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '1', '1', '-1', '-1', '-1')"
"('I', 'had', 'the', 'best', 'ravioli', 'ever', '.')","('0', '0', '0', '0', '1', '0', '0')","('-1', '-1', '-1', '-1', '2', '-1', '-1')"
"('Do', '""nt""', 'go', 'alone', '--', 'even', 'two', 'people', 'is', '""nt""', 'enough', 'for', 'the', 'whole', 'experience', ',', 'with', 'pickles', 'and', 'a', 'selection', 'of', 'meats', 'and', 'seafoods', '.')","('0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '1', '2', '2', '2', '2', '0')","('-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '2', '2', '2', '2', '2', '-1')"
"('try', 'the', 'spicy', 'shrimp', 'appetizer', '-LRB-', 'again', ',', 'not', 'the', 'greatest', 'value', 'in', 'the', 'world', 'but', 'worth', 'the', 'price', '-RRB-', 'and', 'the', 'lamb', 'vindaloo', 'is', 'great', '.')","('0', '0', '0', '1', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '2', '0', '0', '0')","('-1', '-1', '-1', '2', '2', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1')"
